User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities
1,20,non-binary,bangalore,undergraduate,freelancer,hinge,hinge,monthly,1 hour,finding a partner,4,safety concerns,audio calls,video calls,Values > Personality > Appearance
2,24,female,delhi,undergraduate,part-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,time-wasting,video calls,text,Values > Personality > Appearance
3,24,non-binary,kolkata,undergraduate,intern,none,none,weekly,2 hours,casual dating,4,safety concerns,detailed profiles,text,Values > Personality > Appearance
4,22,non-binary,delhi,graduate,full-time job,none,okcupid,daily,30 minutes,casual fun,3,unknown,ai recommendations,voice notes,Personality > Interests > Values
5,18,male,delhi,graduate,intern,okcupid,okcupid,weekly,2 hours,casual fun,4,safety concerns,video calls,text,Appearance > Interests > Personality
6,23,female,mumbai,undergraduate,student,okcupid,none,daily,1.5 hours,casual dating,2,unknown,audio calls,video calls,Values > Personality > Appearance
7,22,non-binary,chennai,postgraduate,part-time job,tinder,tinder,monthly,30 minutes,finding a partner,4,time-wasting,audio calls,text,Personality > Interests > Values
8,21,female,pune,postgraduate,freelancer,hinge,tinder,weekly,1.5 hours,finding a partner,2,safety concerns,audio calls,video calls,Values > Personality > Appearance
9,20,male,pune,postgraduate,part-time job,hinge,okcupid,daily,2 hours,finding a partner,1,lack of genuine matches,audio calls,text,Values > Personality > Appearance
10,20,non-binary,chennai,undergraduate,intern,okcupid,bumble,weekly,3 hours,finding a partner,1,safety concerns,location-based matching,video calls,Values > Personality > Appearance
11,18,female,hyderabad,postgraduate,full-time job,tinder,hinge,daily,1 hour,social interaction,1,unknown,location-based matching,voice notes,Appearance > Interests > Personality
12,21,male,delhi,undergraduate,part-time job,none,none,monthly,3 hours,finding a partner,1,unknown,audio calls,voice notes,Appearance > Interests > Personality
13,22,male,bangalore,undergraduate,student,hinge,okcupid,monthly,1 hour,casual dating,3,time-wasting,video calls,video calls,Personality > Interests > Values
14,19,non-binary,bangalore,undergraduate,student,hinge,bumble,daily,2 hours,social interaction,1,unknown,ai recommendations,voice notes,Personality > Interests > Values
15,22,non-binary,chennai,graduate,intern,hinge,none,daily,1.5 hours,casual fun,1,lack of genuine matches,audio calls,voice notes,Appearance > Interests > Personality
16,19,female,bangalore,undergraduate,freelancer,hinge,okcupid,daily,1.5 hours,casual dating,5,time-wasting,detailed profiles,text,Appearance > Interests > Personality
17,22,non-binary,hyderabad,graduate,part-time job,bumble,tinder,monthly,1 hour,casual fun,3,lack of genuine matches,location-based matching,video calls,Values > Personality > Appearance
18,19,non-binary,hyderabad,graduate,student,okcupid,okcupid,monthly,1 hour,finding a partner,3,safety concerns,detailed profiles,text,Personality > Interests > Values
19,24,male,hyderabad,graduate,intern,none,hinge,daily,30 minutes,casual dating,2,lack of genuine matches,ai recommendations,video calls,Personality > Interests > Values
20,22,non-binary,pune,undergraduate,student,hinge,hinge,weekly,1.5 hours,finding a partner,1,time-wasting,video calls,voice notes,Appearance > Interests > Personality
21,22,male,mumbai,postgraduate,freelancer,hinge,bumble,weekly,3 hours,social interaction,1,safety concerns,ai recommendations,video calls,Values > Personality > Appearance
22,25,non-binary,hyderabad,undergraduate,intern,none,none,weekly,3 hours,finding a partner,5,lack of genuine matches,ai recommendations,text,Appearance > Interests > Personality
23,20,female,pune,graduate,full-time job,hinge,okcupid,daily,3 hours,finding a partner,4,safety concerns,audio calls,video calls,Appearance > Interests > Personality
24,18,male,delhi,graduate,freelancer,tinder,bumble,weekly,2 hours,casual dating,5,time-wasting,detailed profiles,text,Appearance > Interests > Personality
25,24,male,bangalore,postgraduate,full-time job,none,tinder,daily,2 hours,social interaction,3,time-wasting,location-based matching,text,Values > Personality > Appearance
26,24,male,kolkata,graduate,full-time job,bumble,okcupid,weekly,3 hours,social interaction,2,lack of genuine matches,detailed profiles,voice notes,Values > Personality > Appearance
27,21,female,delhi,undergraduate,student,bumble,tinder,weekly,3 hours,casual dating,5,lack of genuine matches,location-based matching,video calls,Appearance > Interests > Personality
28,23,male,kolkata,undergraduate,part-time job,bumble,none,weekly,2 hours,casual fun,1,time-wasting,location-based matching,voice notes,Appearance > Interests > Personality
29,19,female,chennai,undergraduate,student,okcupid,okcupid,weekly,3 hours,casual dating,4,lack of genuine matches,detailed profiles,video calls,Appearance > Interests > Personality
30,18,male,mumbai,undergraduate,freelancer,tinder,tinder,daily,3 hours,finding a partner,4,unknown,location-based matching,voice notes,Personality > Interests > Values
31,24,non-binary,bangalore,graduate,full-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,unknown,audio calls,voice notes,Personality > Interests > Values
32,20,male,bangalore,graduate,full-time job,hinge,okcupid,monthly,1 hour,finding a partner,3,time-wasting,detailed profiles,voice notes,Values > Personality > Appearance
33,24,female,delhi,graduate,part-time job,none,okcupid,weekly,30 minutes,casual dating,3,time-wasting,detailed profiles,text,Personality > Interests > Values
34,25,male,kolkata,graduate,full-time job,none,hinge,weekly,3 hours,finding a partner,5,time-wasting,location-based matching,voice notes,Appearance > Interests > Personality
35,21,female,delhi,graduate,full-time job,bumble,okcupid,daily,2 hours,casual dating,3,safety concerns,audio calls,voice notes,Values > Personality > Appearance
36,22,non-binary,mumbai,postgraduate,part-time job,none,hinge,monthly,30 minutes,finding a partner,3,lack of genuine matches,ai recommendations,text,Appearance > Interests > Personality
37,22,female,kolkata,undergraduate,intern,bumble,none,monthly,1 hour,finding a partner,3,safety concerns,video calls,voice notes,Personality > Interests > Values
38,20,female,mumbai,undergraduate,full-time job,hinge,tinder,daily,1.5 hours,finding a partner,1,lack of genuine matches,audio calls,voice notes,Appearance > Interests > Personality
39,21,male,delhi,postgraduate,full-time job,bumble,tinder,daily,1 hour,casual fun,1,safety concerns,location-based matching,voice notes,Personality > Interests > Values
40,18,male,kolkata,graduate,intern,tinder,bumble,weekly,1 hour,social interaction,5,unknown,audio calls,video calls,Appearance > Interests > Personality
41,24,male,bangalore,undergraduate,student,bumble,tinder,daily,1.5 hours,finding a partner,3,time-wasting,video calls,video calls,Values > Personality > Appearance
42,19,female,pune,postgraduate,part-time job,none,tinder,weekly,2 hours,casual dating,2,safety concerns,detailed profiles,voice notes,Values > Personality > Appearance
43,19,female,bangalore,graduate,part-time job,okcupid,okcupid,weekly,2 hours,social interaction,4,unknown,location-based matching,voice notes,Values > Personality > Appearance
44,23,female,delhi,postgraduate,freelancer,tinder,hinge,weekly,2 hours,casual fun,5,lack of genuine matches,location-based matching,video calls,Personality > Interests > Values
45,21,male,delhi,undergraduate,student,tinder,none,daily,1.5 hours,casual dating,2,lack of genuine matches,ai recommendations,text,Values > Personality > Appearance
46,19,female,hyderabad,graduate,intern,none,okcupid,weekly,2 hours,casual dating,5,safety concerns,audio calls,video calls,Values > Personality > Appearance
47,21,male,kolkata,graduate,intern,okcupid,hinge,daily,1.5 hours,finding a partner,1,unknown,video calls,video calls,Values > Personality > Appearance
48,24,non-binary,bangalore,undergraduate,full-time job,bumble,none,weekly,2 hours,finding a partner,2,time-wasting,location-based matching,voice notes,Values > Personality > Appearance
49,21,male,bangalore,postgraduate,student,okcupid,none,weekly,30 minutes,casual fun,3,lack of genuine matches,location-based matching,voice notes,Appearance > Interests > Personality
50,19,male,kolkata,postgraduate,full-time job,bumble,none,weekly,30 minutes,casual dating,2,unknown,ai recommendations,voice notes,Appearance > Interests > Personality
51,19,female,pune,postgraduate,freelancer,bumble,tinder,monthly,1 hour,social interaction,5,unknown,video calls,voice notes,Personality > Interests > Values
52,25,non-binary,delhi,graduate,part-time job,tinder,okcupid,daily,3 hours,finding a partner,2,time-wasting,detailed profiles,video calls,Appearance > Interests > Personality
53,25,male,mumbai,graduate,full-time job,bumble,tinder,daily,1.5 hours,casual fun,2,lack of genuine matches,location-based matching,video calls,Appearance > Interests > Personality
54,18,male,delhi,postgraduate,student,hinge,okcupid,weekly,3 hours,social interaction,5,safety concerns,ai recommendations,video calls,Appearance > Interests > Personality
55,22,non-binary,mumbai,undergraduate,freelancer,hinge,okcupid,monthly,3 hours,finding a partner,3,unknown,location-based matching,voice notes,Values > Personality > Appearance
56,20,non-binary,mumbai,undergraduate,intern,none,hinge,weekly,1.5 hours,finding a partner,5,unknown,video calls,video calls,Appearance > Interests > Personality
57,23,non-binary,delhi,postgraduate,freelancer,tinder,bumble,daily,1.5 hours,social interaction,3,unknown,location-based matching,video calls,Values > Personality > Appearance
58,19,female,mumbai,postgraduate,student,okcupid,none,daily,2 hours,casual fun,3,time-wasting,location-based matching,video calls,Personality > Interests > Values
59,19,female,pune,postgraduate,student,okcupid,bumble,daily,3 hours,casual fun,5,unknown,ai recommendations,voice notes,Appearance > Interests > Personality
60,22,male,chennai,undergraduate,full-time job,okcupid,bumble,monthly,3 hours,social interaction,1,time-wasting,video calls,video calls,Values > Personality > Appearance
61,22,non-binary,bangalore,undergraduate,intern,okcupid,hinge,weekly,30 minutes,casual dating,4,safety concerns,detailed profiles,video calls,Values > Personality > Appearance
62,24,female,bangalore,postgraduate,freelancer,tinder,hinge,weekly,2 hours,social interaction,3,unknown,ai recommendations,text,Personality > Interests > Values
63,21,female,chennai,graduate,part-time job,okcupid,tinder,daily,1.5 hours,social interaction,4,time-wasting,ai recommendations,text,Personality > Interests > Values
64,20,female,delhi,postgraduate,intern,none,okcupid,monthly,1 hour,finding a partner,5,time-wasting,ai recommendations,voice notes,Appearance > Interests > Personality
65,23,male,kolkata,graduate,intern,hinge,bumble,weekly,2 hours,casual dating,4,safety concerns,audio calls,video calls,Personality > Interests > Values
66,22,male,chennai,undergraduate,part-time job,bumble,okcupid,monthly,1.5 hours,social interaction,5,safety concerns,audio calls,video calls,Values > Personality > Appearance
67,18,female,pune,postgraduate,intern,none,hinge,daily,2 hours,casual fun,2,safety concerns,ai recommendations,text,Appearance > Interests > Personality
68,22,male,bangalore,graduate,full-time job,okcupid,none,daily,1 hour,finding a partner,1,unknown,ai recommendations,voice notes,Appearance > Interests > Personality
69,24,female,delhi,graduate,intern,hinge,bumble,monthly,3 hours,finding a partner,4,safety concerns,audio calls,text,Personality > Interests > Values
70,18,male,hyderabad,postgraduate,intern,bumble,tinder,daily,3 hours,casual dating,2,safety concerns,detailed profiles,text,Appearance > Interests > Personality
71,19,male,bangalore,postgraduate,part-time job,none,hinge,monthly,2 hours,casual dating,4,safety concerns,video calls,voice notes,Values > Personality > Appearance
72,19,male,kolkata,graduate,intern,bumble,okcupid,daily,2 hours,casual fun,1,unknown,audio calls,text,Personality > Interests > Values
73,25,non-binary,delhi,postgraduate,part-time job,hinge,hinge,daily,3 hours,finding a partner,2,safety concerns,audio calls,video calls,Values > Personality > Appearance
74,25,female,bangalore,graduate,student,none,okcupid,weekly,3 hours,finding a partner,4,unknown,video calls,video calls,Appearance > Interests > Personality
75,19,female,chennai,undergraduate,intern,okcupid,none,daily,30 minutes,finding a partner,2,lack of genuine matches,ai recommendations,text,Personality > Interests > Values
76,22,male,chennai,undergraduate,full-time job,tinder,hinge,monthly,30 minutes,finding a partner,3,lack of genuine matches,location-based matching,video calls,Values > Personality > Appearance
77,23,male,mumbai,postgraduate,part-time job,none,bumble,weekly,1.5 hours,casual fun,4,lack of genuine matches,location-based matching,voice notes,Appearance > Interests > Personality
78,25,non-binary,delhi,postgraduate,full-time job,hinge,none,daily,1.5 hours,casual fun,1,lack of genuine matches,detailed profiles,text,Appearance > Interests > Personality
79,23,female,pune,postgraduate,student,okcupid,bumble,monthly,1 hour,casual dating,5,safety concerns,audio calls,voice notes,Appearance > Interests > Personality
80,24,male,bangalore,postgraduate,freelancer,hinge,bumble,monthly,30 minutes,social interaction,5,time-wasting,ai recommendations,text,Values > Personality > Appearance
81,18,female,delhi,undergraduate,freelancer,none,okcupid,monthly,1 hour,casual fun,1,unknown,detailed profiles,video calls,Appearance > Interests > Personality
82,18,male,chennai,graduate,freelancer,okcupid,bumble,daily,1 hour,social interaction,2,safety concerns,audio calls,voice notes,Appearance > Interests > Personality
83,18,male,mumbai,undergraduate,intern,okcupid,bumble,daily,2 hours,social interaction,1,safety concerns,detailed profiles,text,Appearance > Interests > Personality
84,22,non-binary,hyderabad,postgraduate,part-time job,hinge,tinder,weekly,1.5 hours,finding a partner,1,time-wasting,detailed profiles,video calls,Appearance > Interests > Personality
85,18,non-binary,pune,undergraduate,intern,bumble,tinder,weekly,2 hours,social interaction,1,time-wasting,detailed profiles,video calls,Appearance > Interests > Personality
86,20,female,delhi,postgraduate,student,hinge,none,monthly,1 hour,social interaction,5,time-wasting,detailed profiles,voice notes,Values > Personality > Appearance
87,21,non-binary,pune,graduate,freelancer,bumble,hinge,monthly,3 hours,casual dating,5,time-wasting,audio calls,voice notes,Values > Personality > Appearance
88,23,male,delhi,graduate,intern,none,none,daily,1 hour,social interaction,2,time-wasting,detailed profiles,voice notes,Appearance > Interests > Personality
89,22,non-binary,hyderabad,postgraduate,full-time job,tinder,hinge,daily,3 hours,finding a partner,2,lack of genuine matches,location-based matching,video calls,Appearance > Interests > Personality
90,24,male,hyderabad,graduate,full-time job,okcupid,hinge,weekly,3 hours,casual fun,5,unknown,ai recommendations,video calls,Personality > Interests > Values
91,18,female,mumbai,postgraduate,intern,tinder,okcupid,daily,2 hours,social interaction,4,time-wasting,ai recommendations,voice notes,Appearance > Interests > Personality
92,21,male,hyderabad,undergraduate,full-time job,hinge,tinder,monthly,2 hours,finding a partner,1,time-wasting,ai recommendations,voice notes,Values > Personality > Appearance
93,22,non-binary,pune,graduate,full-time job,tinder,okcupid,weekly,30 minutes,casual dating,2,lack of genuine matches,video calls,voice notes,Values > Personality > Appearance
94,21,non-binary,chennai,graduate,part-time job,okcupid,tinder,monthly,3 hours,casual dating,3,unknown,detailed profiles,text,Values > Personality > Appearance
95,23,female,mumbai,undergraduate,full-time job,okcupid,none,monthly,3 hours,social interaction,2,time-wasting,detailed profiles,video calls,Appearance > Interests > Personality
96,20,female,delhi,postgraduate,student,okcupid,tinder,daily,2 hours,finding a partner,4,time-wasting,video calls,voice notes,Personality > Interests > Values
97,23,female,delhi,undergraduate,part-time job,hinge,bumble,daily,1.5 hours,finding a partner,5,time-wasting,video calls,voice notes,Values > Personality > Appearance
98,22,male,chennai,graduate,part-time job,okcupid,none,daily,30 minutes,finding a partner,1,lack of genuine matches,location-based matching,video calls,Personality > Interests > Values
99,20,male,kolkata,undergraduate,freelancer,okcupid,hinge,daily,1.5 hours,casual dating,2,unknown,detailed profiles,voice notes,Personality > Interests > Values
100,20,male,hyderabad,graduate,part-time job,okcupid,okcupid,weekly,3 hours,finding a partner,3,lack of genuine matches,location-based matching,video calls,Personality > Interests > Values
101,19,non-binary,hyderabad,undergraduate,freelancer,tinder,bumble,daily,1.5 hours,casual fun,4,lack of genuine matches,audio calls,text,Values > Personality > Appearance
102,19,male,kolkata,graduate,student,okcupid,okcupid,weekly,3 hours,finding a partner,5,time-wasting,video calls,video calls,Appearance > Interests > Personality
103,25,male,delhi,postgraduate,part-time job,okcupid,tinder,monthly,30 minutes,social interaction,3,safety concerns,location-based matching,text,Appearance > Interests > Personality
104,20,female,chennai,undergraduate,freelancer,hinge,okcupid,monthly,1 hour,finding a partner,4,unknown,video calls,voice notes,Values > Personality > Appearance
105,25,male,delhi,undergraduate,student,hinge,bumble,monthly,1.5 hours,finding a partner,4,unknown,location-based matching,text,Appearance > Interests > Personality
106,25,female,delhi,graduate,freelancer,tinder,bumble,weekly,2 hours,casual fun,3,safety concerns,video calls,video calls,Appearance > Interests > Personality
107,25,male,mumbai,graduate,intern,tinder,okcupid,daily,30 minutes,casual fun,5,safety concerns,location-based matching,text,Appearance > Interests > Personality
108,21,male,kolkata,undergraduate,freelancer,okcupid,hinge,daily,1.5 hours,casual dating,2,unknown,location-based matching,video calls,Personality > Interests > Values
109,18,male,bangalore,undergraduate,freelancer,okcupid,tinder,monthly,2 hours,social interaction,1,time-wasting,audio calls,video calls,Personality > Interests > Values
110,25,male,bangalore,graduate,freelancer,none,tinder,daily,2 hours,casual fun,2,lack of genuine matches,audio calls,video calls,Personality > Interests > Values
111,24,male,bangalore,undergraduate,full-time job,okcupid,tinder,weekly,2 hours,finding a partner,2,safety concerns,location-based matching,video calls,Appearance > Interests > Personality
112,18,female,pune,undergraduate,freelancer,hinge,okcupid,weekly,1.5 hours,casual dating,4,lack of genuine matches,detailed profiles,text,Values > Personality > Appearance
113,23,non-binary,chennai,undergraduate,intern,hinge,bumble,daily,1 hour,casual dating,3,time-wasting,location-based matching,video calls,Personality > Interests > Values
114,19,male,chennai,postgraduate,intern,okcupid,hinge,weekly,1 hour,casual dating,1,time-wasting,location-based matching,video calls,Appearance > Interests > Personality
115,23,male,hyderabad,graduate,freelancer,tinder,none,monthly,2 hours,casual dating,1,unknown,location-based matching,video calls,Values > Personality > Appearance
116,24,non-binary,kolkata,postgraduate,full-time job,tinder,tinder,weekly,1.5 hours,casual dating,1,lack of genuine matches,video calls,video calls,Values > Personality > Appearance
117,24,female,delhi,undergraduate,intern,bumble,okcupid,daily,2 hours,finding a partner,3,lack of genuine matches,ai recommendations,text,Values > Personality > Appearance
118,25,non-binary,chennai,undergraduate,freelancer,tinder,tinder,monthly,30 minutes,casual fun,3,time-wasting,detailed profiles,voice notes,Personality > Interests > Values
119,19,male,delhi,postgraduate,intern,tinder,hinge,monthly,3 hours,casual fun,5,unknown,detailed profiles,video calls,Personality > Interests > Values
120,21,non-binary,chennai,postgraduate,freelancer,hinge,hinge,monthly,2 hours,casual fun,1,time-wasting,location-based matching,voice notes,Personality > Interests > Values
121,25,non-binary,delhi,graduate,student,none,none,daily,1 hour,social interaction,4,safety concerns,ai recommendations,text,Values > Personality > Appearance
122,24,non-binary,bangalore,postgraduate,intern,none,okcupid,monthly,30 minutes,casual dating,4,safety concerns,detailed profiles,video calls,Personality > Interests > Values
123,19,non-binary,bangalore,graduate,intern,bumble,bumble,monthly,1.5 hours,casual fun,3,safety concerns,detailed profiles,video calls,Values > Personality > Appearance
124,20,non-binary,bangalore,undergraduate,intern,hinge,tinder,monthly,2 hours,casual fun,4,time-wasting,location-based matching,text,Appearance > Interests > Personality
125,18,non-binary,delhi,postgraduate,freelancer,tinder,tinder,daily,1.5 hours,finding a partner,3,time-wasting,video calls,video calls,Values > Personality > Appearance
126,21,male,chennai,graduate,part-time job,okcupid,hinge,monthly,30 minutes,finding a partner,5,safety concerns,location-based matching,text,Values > Personality > Appearance
127,22,female,mumbai,postgraduate,student,hinge,none,monthly,3 hours,finding a partner,3,safety concerns,detailed profiles,text,Personality > Interests > Values
128,24,male,pune,postgraduate,student,hinge,none,weekly,1 hour,finding a partner,2,time-wasting,detailed profiles,video calls,Values > Personality > Appearance
129,25,female,mumbai,postgraduate,student,none,hinge,monthly,1 hour,casual dating,1,safety concerns,audio calls,video calls,Personality > Interests > Values
130,23,male,mumbai,postgraduate,freelancer,hinge,hinge,monthly,30 minutes,casual dating,4,time-wasting,video calls,text,Appearance > Interests > Personality
131,20,female,chennai,graduate,part-time job,bumble,none,daily,2 hours,finding a partner,4,unknown,video calls,video calls,Appearance > Interests > Personality
132,24,non-binary,bangalore,graduate,part-time job,bumble,okcupid,monthly,1.5 hours,finding a partner,1,lack of genuine matches,video calls,video calls,Appearance > Interests > Personality
133,25,non-binary,pune,postgraduate,intern,bumble,bumble,monthly,30 minutes,finding a partner,2,time-wasting,video calls,video calls,Personality > Interests > Values
134,25,female,pune,postgraduate,part-time job,none,none,daily,1.5 hours,casual fun,3,time-wasting,location-based matching,voice notes,Personality > Interests > Values
135,20,female,kolkata,graduate,intern,hinge,bumble,daily,1 hour,finding a partner,4,time-wasting,detailed profiles,text,Appearance > Interests > Personality
136,24,male,kolkata,undergraduate,student,bumble,bumble,daily,1 hour,finding a partner,2,lack of genuine matches,location-based matching,text,Personality > Interests > Values
137,18,female,chennai,undergraduate,part-time job,bumble,none,daily,3 hours,casual dating,5,time-wasting,video calls,text,Appearance > Interests > Personality
138,18,female,bangalore,undergraduate,full-time job,none,okcupid,monthly,30 minutes,casual dating,4,lack of genuine matches,location-based matching,text,Values > Personality > Appearance
139,23,non-binary,delhi,undergraduate,student,okcupid,none,weekly,3 hours,casual dating,5,unknown,detailed profiles,video calls,Personality > Interests > Values
140,18,male,chennai,postgraduate,student,tinder,hinge,monthly,1 hour,finding a partner,1,time-wasting,location-based matching,voice notes,Values > Personality > Appearance
141,19,non-binary,bangalore,undergraduate,part-time job,none,none,daily,1.5 hours,casual dating,1,unknown,audio calls,text,Appearance > Interests > Personality
142,22,male,pune,postgraduate,intern,none,okcupid,monthly,1 hour,social interaction,3,time-wasting,audio calls,video calls,Values > Personality > Appearance
143,19,male,mumbai,graduate,freelancer,okcupid,hinge,daily,30 minutes,finding a partner,3,lack of genuine matches,audio calls,text,Personality > Interests > Values
144,22,female,hyderabad,undergraduate,freelancer,okcupid,none,weekly,3 hours,finding a partner,3,time-wasting,location-based matching,video calls,Values > Personality > Appearance
145,24,male,chennai,undergraduate,freelancer,tinder,okcupid,monthly,3 hours,social interaction,3,lack of genuine matches,detailed profiles,video calls,Personality > Interests > Values
146,18,non-binary,kolkata,postgraduate,full-time job,hinge,bumble,weekly,2 hours,casual dating,5,lack of genuine matches,ai recommendations,voice notes,Values > Personality > Appearance
147,23,non-binary,hyderabad,graduate,full-time job,hinge,tinder,weekly,30 minutes,casual fun,5,safety concerns,location-based matching,voice notes,Values > Personality > Appearance
148,23,female,delhi,undergraduate,student,none,bumble,daily,3 hours,social interaction,5,safety concerns,audio calls,text,Appearance > Interests > Personality
149,22,female,bangalore,graduate,full-time job,hinge,bumble,monthly,1.5 hours,casual dating,5,unknown,audio calls,text,Appearance > Interests > Personality
150,19,female,hyderabad,undergraduate,student,tinder,hinge,weekly,2 hours,social interaction,1,lack of genuine matches,ai recommendations,voice notes,Values > Personality > Appearance
151,19,male,mumbai,undergraduate,intern,okcupid,hinge,monthly,3 hours,social interaction,2,time-wasting,audio calls,video calls,Values > Personality > Appearance
152,18,non-binary,pune,graduate,freelancer,bumble,hinge,daily,30 minutes,social interaction,2,lack of genuine matches,detailed profiles,voice notes,Appearance > Interests > Personality
153,24,female,hyderabad,graduate,part-time job,tinder,bumble,monthly,3 hours,casual fun,3,lack of genuine matches,audio calls,voice notes,Personality > Interests > Values
154,23,male,delhi,undergraduate,freelancer,hinge,bumble,monthly,2 hours,casual dating,5,unknown,location-based matching,voice notes,Appearance > Interests > Personality
155,18,female,bangalore,graduate,freelancer,bumble,hinge,weekly,30 minutes,casual fun,4,lack of genuine matches,video calls,text,Personality > Interests > Values
156,18,non-binary,pune,graduate,freelancer,tinder,bumble,monthly,1 hour,social interaction,3,time-wasting,location-based matching,video calls,Appearance > Interests > Personality
157,22,female,hyderabad,graduate,full-time job,hinge,tinder,monthly,1.5 hours,social interaction,3,unknown,location-based matching,text,Values > Personality > Appearance
158,25,non-binary,hyderabad,undergraduate,part-time job,okcupid,hinge,daily,3 hours,social interaction,3,unknown,ai recommendations,video calls,Appearance > Interests > Personality
159,22,non-binary,chennai,graduate,student,okcupid,okcupid,weekly,2 hours,finding a partner,5,lack of genuine matches,ai recommendations,video calls,Personality > Interests > Values
160,24,male,hyderabad,postgraduate,intern,bumble,bumble,weekly,1 hour,social interaction,2,safety concerns,audio calls,video calls,Personality > Interests > Values
161,23,non-binary,bangalore,graduate,part-time job,bumble,okcupid,daily,3 hours,social interaction,1,unknown,ai recommendations,voice notes,Appearance > Interests > Personality
162,23,female,kolkata,undergraduate,full-time job,bumble,hinge,monthly,1.5 hours,social interaction,2,time-wasting,audio calls,voice notes,Values > Personality > Appearance
163,23,female,kolkata,graduate,freelancer,tinder,bumble,weekly,3 hours,casual fun,5,time-wasting,video calls,video calls,Personality > Interests > Values
164,24,non-binary,pune,graduate,full-time job,okcupid,okcupid,daily,3 hours,casual dating,1,lack of genuine matches,video calls,voice notes,Personality > Interests > Values
165,18,female,bangalore,postgraduate,part-time job,none,bumble,weekly,1 hour,casual fun,1,safety concerns,audio calls,text,Appearance > Interests > Personality
